"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AJ1","AW1","AW2","AW3","GA1","GA2","GA3","GE1","GF1","IA1","KA1","KA2","MA1","MD1","MW1","OC1","OD1","REM","EQD"
"07240099999","2020-01-01T00:00:00","4","47.432222","0.727606","108.81","VAL DE LOIRE, FR","FM-12","99999","V020","130,1,N,0026,1","00060,1,W,N","000200,1,9,9","+0037,1","+0037,1","10320,1","03,0000,9,1","06,0000,9,1",,"9999,1,9,999999,9,9",,,,,,,,"09,99,1,99,9,99,9,99999,9,99,9,99,9",,,,"99999,9,10179,1","6,1,002,1,+999,9","45,1",,"3,99,0041,1,999","SYN09807240 04/02 91305 10037 20037 30179 40320 56002 60001 745// 333 4/000 60007 90710 91108 555 60005=",
"07240099999","2020-01-01T00:00:00","4","47.432222","0.727606","108.81","VAL DE LOIRE, FR","FM-15","99999","V020","130,1,N,0026,1","99999,9,9,N","000800,1,9,9","+0040,5","+0040,5","99999,9",,,,,"33,5",,,,,,,,,,,"10310,5,99999,9",,,,,"MET087METAR LFOT 010000Z AUTO 13005KT 0800 0700 R20/1100N FG VV/// 04/04 Q1031 TEMPO 0200 FG=","D01      0ADE735"
"07240099999","2020-01-01T00:30:00","4","47.432222","0.727606","108.81","VAL DE LOIRE, FR","FM-15","99999","V020","110,1,N,0026,1","99999,9,9,N","001100,1,9,9","+0040,5","+0040,5","99999,9",,,,,"10,5",,,,,,,,,,,"10310,5,99999,9",,,,,"MET089METAR LFOT 010030Z AUTO 11005KT 1100 0900 R20/1500U BCFG VV/// 04/04 Q1031 TEMPO 0200 FG=","D01      0ADE735"
"07240099999","2020-01-01T01:00:00","4","47.432222","0.727606","108.81","VAL DE LOIRE, FR","FM-12","99999","V020","110,1,N,0026,1","00120,1,W,N","000500,1,9,9","+0037,1","+0037,1","10315,1","01,0000,9,1",,,,,,,,,,,"09,99,1,99,9,99,9,99999,9,99,9,99,9",,,,"99999,9,10174,1","8,1,005,1,+999,9","45,1",,"3,99,0041,1,999","SYN07607240 24/05 91105 10037 20037 30174 40315 58005 745// 333 60005 90710 91108=",
"07240099999","2020-01-01T01:00:00","4","47.432222","0.727606","108.81","VAL DE LOIRE, FR","FM-15","99999","V020","110,1,N,0026,1","99999,9,9,N","001200,1,9,9","+0040,5","+0040,5","99999,9",,,,,"10,5",,,,,,,,,,,"10300,5,99999,9",,,,,"MET087METAR LFOT 010100Z AUTO 11005KT 1200 1100 R20/1800D BR VV/// 04/04 Q1030 TEMPO 0200 FG=","D01      0ADE735"
"07240099999","2020-01-01T01:30:00","4","47.432222","0.727606","108.81","VAL DE LOIRE, FR","FM-15","99999","V020","110,1,N,0031,1","99999,9,9,N","000900,1,9,9","+0040,5","+0040,5","99999,9",,,,,"33,5",,,,,,,,,,,"10300,5,99999,9",,,,,"MET087METAR LFOT 010130Z AUTO 11006KT 0900 0800 R20/1300N FG VV/// 04/04 Q1030 TEMPO 0200 FG=","D01      0ADE735"
"07240099999","2020-01-01T02:00:00","4","47.432222","0.727606","108.81","VAL DE LOIRE, FR","FM-12","99999","V020","130,1,N,0036,1","00060,1,W,N","000200,1,9,9","+0039,1","+0039,1","10312,1","01,0000,9,1",,,,,,,,,,,"09,99,1,99,9,99,9,99999,9,99,9,99,9",,,,"99999,9,10171,1","8,1,008,1,+999,9","45,1",,"3,99,0057,1,999","SYN07607240 24/02 91307 10039 20039 30171 40312 58008 745// 333 60005 90710 91111=",
"07240099999","2020-01-01T02:00:00","4","47.432222","0.727606","108.81","VAL DE LOIRE, FR","FM-15","99999","V020","130,1,N,0036,1","99999,9,9,N","000650,1,9,9","+0040,5","+0040,5","99999,9",,,,,"33,5",,,,,,,,,,,"10300,5,99999,9",,,,,"MET087METAR LFOT 010200Z AUTO 13007KT 0650 0600 R20/0900D FG VV/// 04/04 Q1030 TEMPO 0200 FG=","D01      0ADE735"
"07240099999","2020-01-01T02:30:00","4","47.432222","0.727606","108.81","VAL DE LOIRE, FR","FM-15","99999","V020","130,1,N,0031,1","99999,9,9,N","001100,1,9,9","+0040,5","+0040,5","99999,9",,,,,"10,5","51,5",,,,,,,,,,"10300,5,99999,9",,,,,"MET103METAR LFOT 010230Z AUTO 13006KT 1100 0900 R20/1500U -DZ BCFG VV/// 04/04 Q1030 TEMPO 1500 -RADZ BKN002=","D01      0ADE735"
"07240099999","2020-01-01T03:00:00","4","47.432222","0.727606","108.81","VAL DE LOIRE, FR","FM-12","99999","V020","120,1,N,0036,1","00120,1,W,N","000400,1,9,9","+0045,1","+0045,1","10311,1","03,0000,2,1",,,"9999,1,9,999999,9,9",,,,,,,,"09,99,1,99,9,99,9,99999,9,99,9,99,9",,,,"99999,9,10171,1","6,1,008,1,+999,9","51,1",,"3,99,0051,1,999","SYN09207240 24/04 91207 10045 20045 30171 40311 56008 751// 333 4/000 69907 90710 91110 555 69905=",
