"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AG1","GA1","GA2","GF1","MD1","OA1","REM"
"07517099999","1990-01-09T15:00:00","4","44.183","-0.283","133.0","CAPTIEUX WEATHER, FR","FM-12","LFYJ ","V020","050,1,N,0021,1","00150,1,C,N","005000,1,N,9","+0079,1","+0070,1","99999,9","2,000","05,1,+00150,9,07,9","06,1,+00450,9,05,9","08,99,1,08,1,05,1,00150,1,99,9,99,9","6,1,014,1,+999,9","4,99,0051,1","SYN023333   85705 86615 91110"
"07517099999","1990-04-13T00:00:00","4","44.183","-0.283","133.0","CAPTIEUX WEATHER, FR","FM-12","LFYJ ","V020","210,1,N,0021,1","01380,1,C,N","019000,1,N,9","+0107,1","+0099,1","99999,9","2,000","07,1,+01380,9,05,9",,"07,99,1,07,1,05,1,01250,1,99,9,99,9",,"4,99,0072,1","SYN017333   87646 91114"
