"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AG1","AJ1","AL1","AY1","AY2","GF1","IA1","IA2","KA1","MD1","MW1","OA1","REM","EQD"
"07742099999","1990-01-07T06:00:00","4","43.4333333","2.4166666","450.0","ST MICHEL DE CUXA, FR","FM-12","99999","V020","999,1,C,0000,1","22000,1,C,N","010000,1,N,9","+0035,1","-0005,1","99999,9","06,0000,9,1",,"4,000",,,,,"03,99,1,03,1,05,1,00450,1,00,1,00,1",,,"999,N,+0005,1",,,,"SYN011333   20005",
"07742099999","1990-01-07T18:00:00","4","43.4333333","2.4166666","450.0","ST MICHEL DE CUXA, FR","FM-12","99999","V020","999,1,C,0000,1","01200,1,C,N","004000,1,N,9","+0050,1","+0050,1","99999,9","99,0010,9,1",,"0,000",,,"6,1,06,1","2,1,06,1","08,99,1,08,1,05,1,01250,1,99,9,99,9",,,"999,M,+0120,1",,"60,1",,"SYN011333   10120",
"07742099999","1990-01-08T06:00:00","4","43.4333333","2.4166666","450.0","ST MICHEL DE CUXA, FR","FM-12","99999","V020","999,1,C,0000,1","00750,1,C,N","050000,1,N,9","+0050,1","+0038,1","99999,9","99,0040,9,1",,"0,000",,,"6,1,06,1","2,1,06,1","08,99,1,08,1,05,1,00800,1,99,9,99,9",,,"999,N,+0045,1",,"01,1",,"SYN011333   20045",
"07742099999","1990-01-08T12:00:00","4","43.4333333","2.4166666","450.0","ST MICHEL DE CUXA, FR","FM-12","99999","V020","999,1,C,0000,1","00750,1,C,N","050000,1,N,9","+0075,1","+0041,1","99999,9","06,0005,9,1",,"0,000",,,"6,1,06,1","2,1,06,1","07,99,1,07,1,05,1,00800,1,99,9,99,9",,,,,"01,1",,,
"07742099999","1990-01-08T18:00:00","4","43.4333333","2.4166666","450.0","ST MICHEL DE CUXA, FR","FM-12","99999","V020","999,1,C,0000,1","01200,1,C,N","050000,1,N,9","+0070,1","+0022,1","99999,9","99,0005,9,1",,"0,000",,,,,"05,99,1,05,1,08,1,00800,1,00,1,00,1",,,"999,M,+0100,1",,,,"SYN011333   10100",
"07742099999","1990-01-09T06:00:00","4","43.4333333","2.4166666","450.0","ST MICHEL DE CUXA, FR","FM-12","99999","V020","999,1,C,0000,1","00750,1,C,N","050000,1,N,9","+0052,1","+0047,1","99999,9","99,0003,9,1",,"0,000",,,"6,1,06,1",,"07,99,1,07,1,05,1,00800,1,99,9,99,9",,,"999,N,+0050,1",,"02,1",,"SYN011333   20050",
"07742099999","1990-01-09T12:00:00","4","43.4333333","2.4166666","450.0","ST MICHEL DE CUXA, FR","FM-12","99999","V020","999,1,C,0000,1","00750,1,C,N","050000,1,N,9","+0075,1","+0043,1","99999,9","06,0000,9,1",,"4,000",,,,,"07,99,1,07,1,05,1,00800,1,99,9,99,9",,,,,,,,
"07742099999","1990-01-09T18:00:00","4","43.4333333","2.4166666","450.0","ST MICHEL DE CUXA, FR","FM-12","99999","V020","999,1,C,0000,1","22000,1,C,N","050000,1,N,9","+0070,1","+0022,1","99999,9","06,0000,9,1",,"4,000",,,,,"04,99,1,04,1,02,1,00800,1,00,1,00,1",,,"999,M,+0100,1",,,,"SYN011333   10100",
"07742099999","1990-01-10T06:00:00","4","43.4333333","2.4166666","450.0","ST MICHEL DE CUXA, FR","FM-12","99999","V020","999,1,C,0000,1","00750,1,C,N","050000,1,N,9","+0045,1","+0020,1","99999,9","99,0005,9,1",,"0,000",,,"6,1,06,1","2,1,06,1","08,99,1,08,1,05,1,00800,1,99,9,99,9",,,"999,N,+0025,1",,"60,1",,"SYN011333   20025",
"07742099999","1990-01-10T12:00:00","4","43.4333333","2.4166666","450.0","ST MICHEL DE CUXA, FR","FM-12","99999","V020","999,1,C,0000,1","00750,1,C,N","050000,1,N,9","+0060,1","+0036,1","99999,9","06,0010,9,1",,"0,000",,,"6,1,06,1","2,1,06,1","08,99,1,08,1,05,1,00800,1,99,9,99,9",,,,,"02,1",,,
