"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","KA1","MA1","REM","EQD"
"07016099999","2010-06-12T02:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0131,1","+0126,1","99999,9","01,0000,2,1",,,,"99999,9,09996,1","SYN058AAXX  12024 07016 36/// ///// 10131 20126 39996 333 60005;",
"07016099999","2010-06-12T03:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0129,1","+0126,1","99999,9","03,0000,9,1",,,,"99999,9,09997,1","SYN068AAXX  12034 07016 36/// ///// 10129 20126 39997 333 60007 555 60005;",
"07016099999","2010-06-12T04:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0127,1","+0124,1","99999,9","01,0000,2,1",,,,"99999,9,10002,1","SYN058AAXX  12044 07016 36/// ///// 10127 20124 30002 333 60005;",
"07016099999","2010-06-12T05:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0126,1","+0123,1","99999,9","01,0000,2,1",,,,"99999,9,10006,1","SYN058AAXX  12054 07016 36/// ///// 10126 20123 30006 333 60005;",
"07016099999","2010-06-12T06:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0127,1","+0124,1","99999,9","24,0000,9,1",,,"999,N,+0125,1","99999,9,10012,1","SYN074AAXX  12064 07016 36/// ///// 10127 20124 30012 333 20125 70000 555 60005;",
"07016099999","2010-06-12T07:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0130,1","+0119,1","99999,9","01,0000,2,1",,,,"99999,9,10018,1","SYN058AAXX  12074 07016 36/// ///// 10130 20119 30018 333 60005;",
"07016099999","2010-06-12T08:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0140,1","+0115,1","99999,9","01,0000,2,1",,,,"99999,9,10024,1","SYN058AAXX  12084 07016 36/// ///// 10140 20115 30024 333 60005;",
"07016099999","2010-06-12T09:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0146,1","+0116,1","99999,9","03,0000,9,1",,,,"99999,9,10026,1","SYN068AAXX  12094 07016 36/// ///// 10146 20116 30026 333 60007 555 60005;",
"07016099999","2010-06-12T10:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0147,1","+0111,1","99999,9","01,0000,2,1",,,,"99999,9,10031,1","SYN058AAXX  12104 07016 36/// ///// 10147 20111 30031 333 60005;",
"07016099999","2010-06-12T11:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0153,1","+0115,1","99999,9","01,0000,2,1",,,,"99999,9,10036,1","SYN058AAXX  12114 07016 36/// ///// 10153 20115 30036 333 60005;",
"07016099999","2010-06-12T12:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0154,1","+0116,1","99999,9",,,,,"99999,9,10041,1","SYN048AAXX  12124 07016 36/// ///// 10154 20116 30041;",
"07016099999","2010-06-12T13:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0158,1","+0112,1","99999,9","01,0000,2,1",,,,"99999,9,10046,1","SYN058AAXX  12134 07016 36/// ///// 10158 20112 30046 333 60005;",
"07016099999","2010-06-12T14:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0156,1","+0108,1","99999,9","01,0000,2,1",,,,"99999,9,10050,1","SYN058AAXX  12144 07016 36/// ///// 10156 20108 30050 333 60005;",
"07016099999","2010-06-12T15:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0160,1","+0107,1","99999,9","03,0000,9,1",,,,"99999,9,10053,1","SYN068AAXX  12154 07016 36/// ///// 10160 20107 30053 333 60007 555 60005;",
"07016099999","2010-06-12T16:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0158,1","+0116,1","99999,9","01,0000,2,1",,,,"99999,9,10055,1","SYN058AAXX  12164 07016 36/// ///// 10158 20116 30055 333 60005;",
"07016099999","2010-06-12T17:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0153,1","+0119,1","99999,9","01,0000,2,1",,,,"99999,9,10060,1","SYN058AAXX  12174 07016 36/// ///// 10153 20119 30060 333 60005;",
"07016099999","2010-06-12T18:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0148,1","+0116,1","99999,9",,,,"999,M,+0161,1","99999,9,10062,1","SYN068AAXX  12184 07016 36/// ///// 10148 20116 30062 333 10161 555 60005;",
"07016099999","2010-06-12T19:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0137,1","+0110,1","99999,9","01,0000,2,1",,,,"99999,9,10065,1","SYN058AAXX  12194 07016 36/// ///// 10137 20110 30065 333 60005;",
"07016099999","2010-06-12T20:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0127,1","+0106,1","99999,9","01,0000,2,1",,,,"99999,9,10068,1","SYN058AAXX  12204 07016 36/// ///// 10127 20106 30068 333 60005;",
"07016099999","2010-06-12T21:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0125,1","+0102,1","99999,9","03,0000,9,1",,,,"99999,9,10075,1","SYN068AAXX  12214 07016 36/// ///// 10125 20102 30075 333 60007 555 60005;",
"07016099999","2010-06-12T22:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0126,1","+0100,1","99999,9","01,0000,2,1",,,,"99999,9,10077,1","SYN058AAXX  12224 07016 36/// ///// 10126 20100 30077 333 60005;",
"07016099999","2010-06-12T23:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0121,1","+0097,1","99999,9","01,0000,2,1",,,,"99999,9,10080,1","SYN058AAXX  12234 07016 36/// ///// 10121 20097 30080 333 60005;",
"07016099999","2010-06-13T00:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0109,1","+0076,1","99999,9",,,,,"99999,9,10081,1","SYN048AAXX  13004 07016 36/// ///// 10109 20076 30081;",
"07016099999","2010-06-13T01:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0105,1","+0066,1","99999,9","01,0000,2,1",,,,"99999,9,10078,1","SYN058AAXX  13014 07016 36/// ///// 10105 20066 30078 333 60005;",
"07016099999","2010-06-13T02:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0103,1","+0068,1","99999,9","01,0000,2,1",,,,"99999,9,10075,1","SYN058AAXX  13024 07016 36/// ///// 10103 20068 30075 333 60005;",
"07016099999","2010-06-13T03:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0107,1","+0070,1","99999,9","03,0000,9,1",,,,"99999,9,10074,1","SYN068AAXX  13034 07016 36/// ///// 10107 20070 30074 333 60007 555 60005;",
"07016099999","2010-06-13T04:00:00","4","50.333","3.0","48.0","VITRY EN ARTOIS, FR","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0109,1","+0088,1","99999,9","01,0000,2,1",,,,"99999,9,10071,1","SYN058AAXX  13044 07016 36/// ///// 10109 20088 30071 333 60005;",
