"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AY1","AY2","GF1","KA1","MA1","MD1","MW1","OD1","UA1","REM","EQD"
"07167099999","2005-06-09T00:00:00","4","48.4666666","4.3166666","166.0","ARCIS SUR AUBE, FR","FM-12","99999","V020","100,1,N,0041,1","22000,1,9,N","020000,1,N,1","+0118,1","+0102,1","10328,1","03,0000,9,1","06,0000,9,1",,,"02,99,1,99,9,99,9,99999,9,99,9,99,9",,"99999,9,10256,1","8,1,006,1,+999,9",,,,"SYN106AAXX  09004 07167 02970 21008 10118 20102 30256 40328 58006 60001 8002 333 60007 90710 91119243 555 60005;","Q01  00002PRCP06"
"07167099999","2005-07-23T06:00:00","4","48.4666666","4.3166666","166.0","ARCIS SUR AUBE, FR","FM-12","99999","V020","220,1,N,0021,1","00750,1,9,N","006000,1,N,1","+0159,1","+0156,1","10117,1","03,0020,9,1","12,0030,9,1","6,1,06,1","6,1,06,1","08,99,1,08,1,07,1,00800,1,99,9,99,9","999,M,+0177,1","99999,9,10047,1","7,1,015,1,+999,9","61,1","4,01,0031,9,999","M,99,999,9,02,9","SYN127AAXX  23064 07167 11556 82204 10159 20156 30047 40117 57015 60032 76166 887// 333 10177 0158 60027 90710 91106 92426 555 69965;",
