"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AJ1","AW1","AW2","AW3","GA1","GA2","GA3","GE1","GF1","IA1","KA1","KA2","MA1","MD1","MW1","OC1","OD1","REM","EQD"
"07471099999","2020-01-01T00:00:00","4","45.080689","3.762889","832.4","LOUDES, FR","FM-12","99999","V020","240,1,N,0010,1","99999,9,9,N","020000,1,9,9","-0026,1","-0049,1","99999,9","03,0000,9,1","06,0000,9,1",,"9999,1,9,999999,9,9",,,,,,,,,,,,"99999,9,09327,1","8,1,006,1,+999,9","00,1",,"3,99,0026,1,999","SYN09807471 04970 /2402 11026 21049 39327 4//// 58006 60001 700// 333 4/000 60007 90710 91105 555 60005=",
"07471099999","2020-01-01T01:00:00","4","45.080689","3.762889","832.4","LOUDES, FR","FM-12","99999","V020","200,1,N,0005,1","99999,9,9,N","020000,1,9,9","-0027,1","-0050,1","99999,9","01,0000,9,1",,,,,,,,,,,,,,,"99999,9,09325,1","7,1,007,1,+999,9","00,1",,"3,99,0015,1,999","SYN07607471 24970 /2001 11027 21050 39325 4//// 57007 700// 333 60005 90710 91103=",
"07471099999","2020-01-01T02:00:00","4","45.080689","3.762889","832.4","LOUDES, FR","FM-12","99999","V020","260,1,N,0005,1","99999,9,9,N","020000,1,9,9","-0036,1","-0055,1","99999,9","01,0000,9,1",,,,,,,,,,,,,,,"99999,9,09329,1","5,1,001,1,+999,9","00,1",,"3,99,0010,1,999","SYN07607471 24970 /2601 11036 21055 39329 4//// 55001 700// 333 60005 90710 91102=",
"07471099999","2020-01-01T03:00:00","4","45.080689","3.762889","832.4","LOUDES, FR","FM-12","99999","V020","260,1,N,0010,1","99999,9,9,N","020000,1,9,9","-0039,1","-0056,1","99999,9","03,0000,9,1",,,"9999,1,9,999999,9,9",,,,,,,,,,,,"99999,9,09329,1","3,1,002,1,+999,9","00,1",,"3,99,0015,1,999","SYN09207471 24970 /2602 11039 21056 39329 4//// 53002 700// 333 4/000 60007 90710 91103 555 60005=",
"07471099999","2020-01-01T04:00:00","4","45.080689","3.762889","832.4","LOUDES, FR","FM-12","99999","V020","230,1,N,0010,1","99999,9,9,N","020000,1,9,9","-0041,1","-0059,1","99999,9","01,0000,9,1",,,,,,,,,,,,,,,"99999,9,09322,1","8,1,003,1,+999,9","00,1",,"3,99,0015,1,999","SYN07607471 24970 /2302 11041 21059 39322 4//// 58003 700// 333 60005 90710 91103=",
"07471099999","2020-01-01T05:00:00","4","45.080689","3.762889","832.4","LOUDES, FR","FM-12","99999","V020","200,1,N,0005,1","99999,9,9,N","019000,1,9,9","-0042,1","-0060,1","99999,9","01,0000,9,1",,,,,,,,,,,,,,,"99999,9,09324,1","5,1,005,1,+999,9","00,1",,"3,99,0021,1,999","SYN07607471 24969 /2001 11042 21060 39324 4//// 55005 700// 333 60005 90710 91104=",
"07471099999","2020-01-01T06:00:00","4","45.080689","3.762889","832.4","LOUDES, FR","FM-12","99999","V020","200,1,N,0010,1","99999,9,9,N","020000,1,9,9","-0046,1","-0067,1","99999,9","03,0000,9,1","12,0000,9,1","24,0000,9,1","9999,1,9,999999,9,9",,,,,,,,,,"240,M,+0013,1","240,N,-0046,1","99999,9,09327,1","5,1,002,1,+999,9","00,1",,"3,99,0015,1,999","SYN12807471 04970 /2002 11046 21067 39327 4//// 55002 60002 700// 333 10013 21046 30107 4/000 55073 60007 70000 90710 91103 555 60005=",
"07471099999","2020-01-01T07:00:00","4","45.080689","3.762889","832.4","LOUDES, FR","FM-12","99999","V020","200,1,N,0005,1","99999,9,9,N","020000,1,9,9","-0048,1","-0066,1","99999,9","01,0000,9,1",,,,,,,,,,,,,,,"99999,9,09329,1","2,1,007,1,+999,9","00,1",,"3,99,0021,1,999","SYN07607471 24970 /2001 11048 21066 39329 4//// 52007 700// 333 60005 90710 91104=",
"07471099999","2020-01-01T07:00:00","4","45.080689","3.762889","832.4","LOUDES, FR","FM-15","99999","V020","999,9,V,0005,1","99999,9,9,Y","009900,5,9,9","-0050,1","-0070,1","99999,9",,,,,,,,,,,,,,,,"10300,1,99999,9",,,,,"MET052METAR LFHP 010700Z AUTO VRB01KT CAVOK M05/M07 Q1030=",
"07471099999","2020-01-01T07:30:00","4","45.080689","3.762889","832.4","LOUDES, FR","FM-15","99999","V020","999,9,C,0000,1","99999,9,9,Y","009900,5,9,9","-0050,1","-0070,1","99999,9",,,,,,,,,,,,,,,,"10300,1,99999,9",,,,,"MET052METAR LFHP 010730Z AUTO 00000KT CAVOK M05/M07 Q1030=",
"07471099999","2020-01-01T08:00:00","4","45.080689","3.762889","832.4","LOUDES, FR","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","020000,1,9,9","-0043,1","-0061,1","99999,9","01,0000,9,1",,,,,,,,,,,,,,,"99999,9,09333,1","3,1,009,1,+999,9","00,1",,"3,99,0015,1,999","SYN07607471 24970 /0000 11043 21061 39333 4//// 53009 700// 333 60005 90710 91103=",
"07471099999","2020-01-01T08:00:00","4","45.080689","3.762889","832.4","LOUDES, FR","FM-15","99999","V020","999,9,C,0000,1","99999,9,9,Y","009900,5,9,9","-0040,1","-0060,1","99999,9",,,,,,,,,,,,,,,,"10300,1,99999,9",,,,,"MET052METAR LFHP 010800Z AUTO 00000KT CAVOK M04/M06 Q1030=",
"07471099999","2020-01-01T08:30:00","4","45.080689","3.762889","832.4","LOUDES, FR","FM-15","99999","V020","999,9,C,0000,1","99999,9,9,Y","009900,5,9,9","-0030,1","-0050,1","99999,9",,,,,,,,,,,,,,,,"10300,1,99999,9",,,,,"MET052METAR LFHP 010830Z AUTO 00000KT CAVOK M03/M05 Q1030=",
"07471099999","2020-01-01T09:00:00","4","45.080689","3.762889","832.4","LOUDES, FR","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","020000,1,9,9","-0006,1","-0040,1","99999,9","03,0000,9,1",,,"9999,1,9,999999,9,9",,,,,,,,,,,,"99999,9,09335,1","2,1,008,1,+999,9","00,1",,"3,99,0010,1,999","SYN09207471 24970 /0000 11006 21040 39335 4//// 52008 700// 333 4/000 60007 90710 91102 555 60005=",
"07471099999","2020-01-01T09:00:00","4","45.080689","3.762889","832.4","LOUDES, FR","FM-15","99999","V020","999,9,C,0000,1","99999,9,9,Y","009900,5,9,9","-0010,1","-0040,1","99999,9",,,,,,,,,,,,,,,,"10310,1,99999,9",,,,,"MET052METAR LFHP 010900Z AUTO 00000KT CAVOK M01/M04 Q1031=",
"07471099999","2020-01-01T09:30:00","4","45.080689","3.762889","832.4","LOUDES, FR","FM-15","99999","V020","999,9,C,0000,1","99999,9,9,Y","009900,5,9,9","+0000,1","-0030,1","99999,9",,,,,,,,,,,,,,,,"10310,1,99999,9",,,,,"MET051METAR LFHP 010930Z AUTO 00000KT CAVOK 00/M03 Q1031=",
