"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AG1","GA1","GA2","GA3","MA1","MW1","OC1","REM","EQD"
"07561599999","1990-01-02T09:38:00","4","44.502108","3.532819","1024.73","BRENOUX, FR","FM-15","LFNB ","V020","999,1,C,0000,1","99999,1,C,Y","009900,1,N,1","+0010,1","+0010,1","99999,9","2,999",,,,,,,"MET005CAVOK","Q01+000000PRSWM2"
"07561599999","1990-01-02T12:00:00","4","44.502108","3.532819","1024.73","BRENOUX, FR","FM-15","LFNB ","V020","040,1,N,0031,1","00750,1,C,N","011200,1,N,1","+0050,1","+0020,1","99999,9","2,000","06,1,+00750,9,08,9",,,,,,,"Q01+000000PRSWM2"
"07561599999","1990-01-02T15:30:00","4","44.502108","3.532819","1024.73","BRENOUX, FR","FM-15","LFNB ","V020","020,1,N,0031,1","01200,1,C,N","011200,1,N,1","+0050,1","+0010,1","99999,9","2,999","06,1,+01200,9,08,9",,,,,,,"Q01+000000PRSWM2"
"07561599999","1990-01-03T09:40:00","4","44.502108","3.532819","1024.73","BRENOUX, FR","FM-15","LFNB ","V020","999,1,C,0000,1","99999,1,C,Y","009900,1,N,1","+0010,1","-0040,1","99999,9","2,999",,,,,,,"MET005CAVOK","Q01+000000PRSWM2"
"07561599999","1990-01-03T13:20:00","4","44.502108","3.532819","1024.73","BRENOUX, FR","FM-15","LFNB ","V020","120,1,N,0051,1","00300,1,C,N","011200,1,N,1","+0040,1","+0010,1","99999,9","2,999","08,1,+00300,9,05,9",,,,,"0103,1",,"Q01+000000PRSWM2"
"07561599999","1990-01-03T15:00:00","4","44.502108","3.532819","1024.73","BRENOUX, FR","FM-15","LFNB ","V020","140,1,N,0062,1","00240,1,C,N","005000,1,N,1","+0040,1","+0030,1","99999,9","2,001","08,1,+00240,9,05,9",,,,"50,1",,,
"07561599999","1990-01-04T09:00:00","4","44.502108","3.532819","1024.73","BRENOUX, FR","FM-15","LFNB ","V020","999,1,C,0000,1","99999,1,C,Y","009900,1,N,1","+0010,1","-0060,1","99999,9","2,000",,,,,,,"MET005CAVOK","Q01+000000PRSWM2"
"07561599999","1990-01-04T12:30:00","4","44.502108","3.532819","1024.73","BRENOUX, FR","FM-15","LFNB ","V020","999,1,V,0010,1","99999,1,C,Y","009900,1,N,1","+0070,1","-0050,1","99999,9","2,999",,,,,,,"MET005CAVOK","Q01+000000PRSWM2"
"07561599999","1990-01-04T15:20:00","4","44.502108","3.532819","1024.73","BRENOUX, FR","FM-15","LFNB ","V020","999,1,V,0010,1","99999,1,C,Y","009900,1,N,1","+0080,1","-0040,1","99999,9","2,000",,,,,,,"MET005CAVOK","Q01+000000PRSWM2"
"07561599999","1990-01-05T09:30:00","4","44.502108","3.532819","1024.73","BRENOUX, FR","FM-15","LFNB ","V020","999,1,C,0000,1","99999,1,C,Y","009900,1,N,1","+0000,1","-0010,1","99999,9","2,999",,,,,,,"MET005CAVOK","Q01+000000PRSWM2"
"07561599999","1990-01-05T12:45:00","4","44.502108","3.532819","1024.73","BRENOUX, FR","FM-15","LFNB ","V020","999,1,C,0000,1","99999,1,C,Y","009900,1,N,1","+0080,1","-0030,1","99999,9","2,999",,,,,,,"MET005CAVOK","Q01+000000PRSWM2"
"07561599999","1990-01-06T09:20:00","4","44.502108","3.532819","1024.73","BRENOUX, FR","FM-15","LFNB ","V020","999,1,C,0000,1","99999,1,C,Y","009900,1,N,1","+0010,1","-0020,1","99999,9","2,000",,,,,,,"MET005CAVOK","Q01+000000PRSWM2"
"07561599999","1990-01-06T12:00:00","4","44.502108","3.532819","1024.73","BRENOUX, FR","FM-15","LFNB ","V020","999,1,C,0000,1","99999,1,C,Y","009900,1,N,1","+0070,1","+0000,1","99999,9","2,000",,,,,,,"MET005CAVOK","Q01+000000PRSWM2"
"07561599999","1990-01-06T15:20:00","4","44.502108","3.532819","1024.73","BRENOUX, FR","FM-15","LFNB ","V020","180,1,N,0021,1","99999,1,C,Y","009900,1,N,1","+0080,1","-0030,1","99999,9","2,000",,,,,,,"MET005CAVOK","Q01+000000PRSWM2"
"07561599999","1990-01-07T13:00:00","4","44.502108","3.532819","1024.73","BRENOUX, FR","FM-15","LFNB ","V020","240,1,N,0021,1","00090,1,C,N","003000,1,N,1","+0030,1","+0020,1","99999,9","2,999","08,1,+00090,9,07,9",,,,,,,"Q01+000000PRSWM2"
"07561599999","1990-01-07T15:00:00","4","44.502108","3.532819","1024.73","BRENOUX, FR","FM-15","LFNB ","V020","999,1,C,0000,1","00150,1,C,N","003000,1,N,1","+0030,1","+0030,1","99999,9","2,000","08,1,+00150,9,07,9",,,,,,,"Q01+000000PRSWM2"
"07561599999","1990-01-09T09:00:00","4","44.502108","3.532819","1024.73","BRENOUX, FR","FM-15","LFNB ","V020","100,1,N,0021,1","22000,1,C,N","011200,1,N,1","+0010,1","+0000,1","99999,9","2,000","03,1,+01200,9,08,9",,,,,,,"Q01+000000PRSWM2"
"07561599999","1990-01-09T12:30:00","4","44.502108","3.532819","1024.73","BRENOUX, FR","FM-15","LFNB ","V020","100,1,N,0010,1","99999,1,C,Y","009900,1,N,1","+0050,1","+0010,1","99999,9","2,999",,,,,,,"MET005CAVOK","Q01+000000PRSWM2"
"07561599999","1990-01-09T15:00:00","4","44.502108","3.532819","1024.73","BRENOUX, FR","FM-15","LFNB ","V020","100,1,N,0010,1","22000,1,C,N","011200,1,N,1","+0040,1","-0020,1","99999,9","2,000","01,1,+00900,9,08,9",,,,,,,"Q01+000000PRSWM2"
"07561599999","1990-01-10T09:00:00","4","44.502108","3.532819","1024.73","BRENOUX, FR","FM-15","LFNB ","V020","100,1,N,0010,1","22000,1,C,N","011200,1,N,1","+0040,1","+0000,1","99999,9","2,000","02,1,+00600,9,08,9",,,,,,,"Q01+000000PRSWM2"
"07561599999","1990-01-10T12:30:00","4","44.502108","3.532819","1024.73","BRENOUX, FR","FM-15","LFNB ","V020","180,1,N,0010,1","99999,1,C,Y","009900,1,N,1","+0090,1","+0020,1","99999,9","2,999",,,,,,,"MET005CAVOK","Q01+000000PRSWM2"
