"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AG1","AY1","GA1","GA2","GA3","GA4","GF1","MA1","MW1","OC1","REM","EQD"
"07301399999","1990-01-02T12:00:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","130,1,N,0041,1","22000,1,C,N","011200,1,N,1","+0090,1","+0060,1","99999,9","2,000",,"01,1,+00900,9,05,9",,,,,"10210,1,99999,9",,,,"Q01+000000PRSWM2"
"07301399999","1990-01-02T13:00:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","150,1,N,0031,1","22000,1,C,N","011200,1,N,1","+0100,1","+0060,1","99999,9","2,999",,"01,1,+00990,9,08,9",,,,,"10200,1,99999,9",,,,"Q01+000000PRSWM2"
"07301399999","1990-01-02T14:20:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","110,1,N,0021,1","99999,1,C,Y","009900,1,N,1","+0090,1","+0060,1","99999,9","2,999",,,,,,,"10190,1,99999,9",,,"MET005CAVOK","Q01+000000PRSWM2"
"07301399999","1990-01-02T15:00:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","110,1,N,0021,1","99999,1,C,Y","009900,1,N,1","+0090,1","+0060,1","99999,9","2,000",,,,,,,"10190,1,99999,9",,,"MET005CAVOK","Q01+000000PRSWM2"
"07301399999","1990-01-02T16:00:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","090,1,N,0031,1","99999,1,C,Y","009900,1,N,1","+0080,1","+0050,1","99999,9","2,999",,,,,,,"10190,1,99999,9",,,"MET005CAVOK","Q01+000000PRSWM2"
"07301399999","1990-01-03T04:50:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","070,1,N,0041,1","99999,1,C,Y","009900,1,N,1","+0050,1","+0030,1","99999,9","2,999",,,,,,,"10108,1,99999,9",,,"MET005CAVOK","Q01+000000PRSWM2"
"07301399999","1990-01-03T05:00:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","070,1,N,0031,1","99999,1,C,Y","009900,1,N,1","+0040,1","+0030,1","99999,9","2,999",,,,,,,"10108,1,99999,9",,,"MET005CAVOK","Q01+000000PRSWM2"
"07301399999","1990-01-03T07:39:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","070,1,N,0031,1","99999,1,C,Y","009900,1,N,1","+0030,1","+0030,1","99999,9","2,999",,,,,,,"10108,1,99999,9",,,"MET005CAVOK","Q01+000000PRSWM2"
"07301399999","1990-01-03T07:50:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","080,1,N,0051,1","99999,1,C,Y","009900,1,N,1","+0040,1","+0030,1","99999,9","2,999",,,,,,,"10119,1,99999,9",,,"MET005CAVOK","Q01+000000PRSWM2"
"07301399999","1990-01-03T09:50:00","4","46.317","-0.4","61.0","NIORT SOUCHE, FR","FM-15","LFBN ","V020","060,1,N,0041,1","99999,1,C,Y","009900,1,N,1","+0050,1","+0040,1","99999,9","2,999",,,,,,,"10129,1,99999,9",,,"MET005CAVOK","Q01+000000PRSWM2"
